 연번 , 구분 , 호선 , 화장실명(역명) , 소재지도로명주소 , 소재지지번주소 , 남녀공용화장실여부 , 남성용-대변기수 , 남성용-소변기수 , 남성용-장애인용대변기수 , 남성용-장애인용소변기수 , 남성용-어린이용대변기수 , 남성용-어린이용소변기수 , 여성용-대변기수 , 여성용-장애인용대변기수 , 여성용-어린이용대변기수 , 관리기관명 , 전화번호 , 개방시간 , 화장실 상세위치 ,화장실 상세위치(게이트 내외부), 위도 , 경도 , 화장실소유구분 , 화장실설치장소유형 , 오물처리방식 , 비상벨 설치유무 , 화장실입구cctv설치유무 , 기저귀교환대설치유무-남자화장실 , 기저귀교환대설치유무-남자장애인화장실 , 기저귀교환대설치유무-여자화장실 , 기저귀교환대설치유무-여자장애인화장실 , 리모델링년월 ,데이터기준일자
1, 공중화장실 ,1,서울(1),서울특별시 중구 봉래동2가 122 서울역(1호선),서울특별시 중구 봉래동2가,N,4,5,1,,2,,9,1,2, 서울교통공사 ,02-6110-1331,05:00~24:00,지하1층 2번출구 부근,외부,37.556878,126.972578, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2015,2023-08-14
2, 공중화장실 ,1,시청(1),서울특별시 중구 정동 5-5 시청역(1호선),서울특별시 중구 정동 5-5,N,6,5,1,,2,,15,1,2, 서울교통공사 ,02-6110-1321,05:00~24:00,지하1층 5번출구 부근,외부,37.565682,126.976849, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2013,2023-08-14
3, 공중화장실 ,1, 종각 ,서울특별시 종로구 종로1가 54 종각지하철역사,서울특별시 종로구 종로1가,N,3,2,1,,1,,6,1,1, 서울교통공사 ,02-6110-1311,05:00~24:00,"지하1층 가게이트 부근 (연결통로 부근, 시청측)",외부,37.570175,126.983226, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2015,2023-08-14
4, 공중화장실 ,1, 종각 ,서울특별시 종로구 종로1가 54 종각지하철역사,서울특별시 종로구 종로1가,N,5,5,1,,,,10,1,, 서울교통공사 ,02-6110-1311,05:00~24:00,지하1층 다게이트 부근 (종로3가측),외부,37.570175,126.983226, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2008이전,2023-08-14
5, 공중화장실 ,1,종로3가(1),서울특별시 종로3가 10-5  1호선 종로3가역(1호선),서울특별시 종로3가 10-5,N,5,6,1,,1,,12,1,1, 서울교통공사 ,02-6110-1301,05:00~24:00,지하1층 가게이트 부근,외부,37.57042,126.992153, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
6, 공중화장실 ,1,종로3가(1),서울특별시 종로3가 10-5  1호선 종로3가역(1호선),서울특별시 종로3가 10-5,N,4,5,,,,,6,,, 서울교통공사 ,02-6110-1301,05:00~24:00,지하1층 라게이트 부근 (역무실앞),내부,37.57042,126.992153, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
7, 공중화장실 ,1,종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,서울특별시 종로구 종로5가,N,4,4,1,,1,,8,1,1, 서울교통공사 ,02-6110-1291,05:00~24:00,지하1층 지하상가 연결통로앞,외부,37.571743,127.011169, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2014,2023-08-14
8, 공중화장실 ,1,동대문(1),서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),서울특별시 종로구 창신동 4,N,4,6,1,,2,,12,1,1, 서울교통공사 ,02-6110-1281,05:00~24:00,지하1층 4번출입구 부근,외부,37.576087,127.02456, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2016,2023-08-14
9, 공중화장실 ,1,동묘앞(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,1,,,,1,1,, 서울교통공사 ,02-6110-1271,05:00~24:00,1층 역무실 부근,외부,37.573281,127.016649, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
10, 공중화장실 ,1,동묘앞(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,1,,,,6,1,, 서울교통공사 ,02-6110-1271,05:00~24:00,지하1층 3번출입구 부근,외부,37.573281,127.016649, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
11, 공중화장실 ,1,동묘앞(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,1,,,,1,1,, 서울교통공사 ,02-6110-1271,05:00~24:00,하선승강장 7-3지점,외부,37.573281,127.016649, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
12, 공중화장실 ,1,동묘앞(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,1,,,,3,1,, 서울교통공사 ,02-6110-1271,05:00~24:00,상선승강장 4-3지점,내부,37.573281,127.016649, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
13, 공중화장실 ,1,신설동(1),서울특별시 동대문구 신설동 76-5 신설동역(1호선), 서울특별시 동대문구 신설동  ,N,6,4,1,,1,,11,1,2, 서울교통공사 ,02-6110-1261,05:00~24:00,대합실(지하1층) 역무실 앞,외부,37.578163,127.034687, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2014,2023-08-14
14, 공중화장실 ,1, 제기동 ,서울특별시 동대문구 제기동 65 제기동역, 서울특별시 동대문구 제기동  ,N,5,6,1,,1,,11,1,1, 서울교통공사 ,02-6110-1251,05:00~24:00,2번출구우측,외부,37.579984,127.045547, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
15, 공중화장실 ,1, 청량리 ,서울특별시 동대문구 전농동 620-69 청량리역, 서울특별시 동대문구 전농동  ,N,2,3,,,,,2,,, 서울교통공사 ,02-6110-1241,05:00~24:00,4번출구 아래,외부,57.580037,127.044727, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
16, 공중화장실 ,2,시청(2),서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문동 9,N,5,4,1,,,,10,1,1, 서울교통공사 ,02-6110-2011,05:00~24:00,"지하1층 9,10번출구 옆",내부,37.563681,126.975598, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
17, 공중화장실 ,2,시청(2),서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문동 9,N,4,5,1,,,,9,1,1, 서울교통공사 ,02-6110-2011,05:00~24:00,지하2층 환승통로,외부,37.563681,126.975598, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2013,2023-08-14
